WE,WF,impressions,demand_factor,100-200-agreement
17,1,2000,1.25,1.0
16,2,2000,1.25,1.0
15,3,2000,1.25,1.0
14,4,2000,1.25,1.0
13,5,2000,1.25,1.0
12,6,2000,1.25,1.0
11,7,2000,1.25,1.0
10,8,2000,1.25,1.0
9,9,2000,1.25,1.0
8,10,2000,1.25,0.0
7,11,2000,1.25,0.0
6,12,2000,1.25,1.0
5,13,2000,1.25,1.0
4,14,2000,1.25,1.0
3,15,2000,1.25,1.0
2,16,2000,1.25,1.0
1,17,2000,1.25,1.0
0,18,2000,1.25,1.0
18,0,2000,1.5,1.0
17,1,2000,1.5,1.0
16,2,2000,1.5,1.0
15,3,2000,1.5,1.0
14,4,2000,1.5,1.0
13,5,2000,1.5,1.0
12,6,2000,1.5,1.0
11,7,2000,1.5,1.0
10,8,2000,1.5,1.0
9,9,2000,1.5,0.0
8,10,2000,1.5,0.0
7,11,2000,1.5,0.0
6,12,2000,1.5,1.0
5,13,2000,1.5,1.0
4,14,2000,1.5,1.0
3,15,2000,1.5,1.0
2,16,2000,1.5,1.0
1,17,2000,1.5,1.0
0,18,2000,1.5,1.0
18,0,2000,1.75,1.0
17,1,2000,1.75,1.0
16,2,2000,1.75,1.0
15,3,2000,1.75,1.0
14,4,2000,1.75,1.0
13,5,2000,1.75,1.0
12,6,2000,1.75,1.0
11,7,2000,1.75,1.0
10,8,2000,1.75,1.0
9,9,2000,1.75,0.0
8,10,2000,1.75,0.0
7,11,2000,1.75,0.0
6,12,2000,1.75,1.0
5,13,2000,1.75,1.0
4,14,2000,1.75,1.0
3,15,2000,1.75,1.0
2,16,2000,1.75,1.0
1,17,2000,1.75,1.0
0,18,2000,1.75,1.0
18,0,2000,2.0,1.0
17,1,2000,2.0,1.0
16,2,2000,2.0,1.0
15,3,2000,2.0,1.0
14,4,2000,2.0,1.0
13,5,2000,2.0,1.0
12,6,2000,2.0,1.0
11,7,2000,2.0,1.0
10,8,2000,2.0,1.0
9,9,2000,2.0,0.0
8,10,2000,2.0,0.0
7,11,2000,2.0,1.0
6,12,2000,2.0,1.0
5,13,2000,2.0,1.0
4,14,2000,2.0,1.0
3,15,2000,2.0,1.0
2,16,2000,2.0,1.0
1,17,2000,2.0,1.0
0,18,2000,2.0,1.0
18,0,2000,2.25,1.0
17,1,2000,2.25,1.0
16,2,2000,2.25,1.0
15,3,2000,2.25,1.0
14,4,2000,2.25,1.0
13,5,2000,2.25,1.0
12,6,2000,2.25,1.0
11,7,2000,2.25,1.0
10,8,2000,2.25,1.0
9,9,2000,2.25,1.0
8,10,2000,2.25,1.0
7,11,2000,2.25,1.0
6,12,2000,2.25,1.0
5,13,2000,2.25,1.0
4,14,2000,2.25,1.0
3,15,2000,2.25,1.0
2,16,2000,2.25,1.0
1,17,2000,2.25,1.0
0,18,2000,2.25,1.0
18,0,2000,2.5,1.0
17,1,2000,2.5,1.0
16,2,2000,2.5,1.0
15,3,2000,2.5,1.0
14,4,2000,2.5,1.0
13,5,2000,2.5,1.0
12,6,2000,2.5,1.0
11,7,2000,2.5,1.0
10,8,2000,2.5,1.0
9,9,2000,2.5,1.0
8,10,2000,2.5,1.0
7,11,2000,2.5,0.0
6,12,2000,2.5,0.0
5,13,2000,2.5,0.0
4,14,2000,2.5,0.0
3,15,2000,2.5,0.0
2,16,2000,2.5,1.0
1,17,2000,2.5,1.0
0,18,2000,2.5,1.0
18,0,2000,2.75,1.0
17,1,2000,2.75,1.0
16,2,2000,2.75,1.0
15,3,2000,2.75,1.0
14,4,2000,2.75,1.0
13,5,2000,2.75,1.0
12,6,2000,2.75,1.0
11,7,2000,2.75,1.0
10,8,2000,2.75,1.0
9,9,2000,2.75,1.0
8,10,2000,2.75,1.0
7,11,2000,2.75,1.0
6,12,2000,2.75,1.0
5,13,2000,2.75,0.0
4,14,2000,2.75,0.0
3,15,2000,2.75,1.0
2,16,2000,2.75,1.0
1,17,2000,2.75,1.0
0,18,2000,2.75,1.0
18,0,2000,3.0,1.0
17,1,2000,3.0,1.0
16,2,2000,3.0,1.0
15,3,2000,3.0,1.0
14,4,2000,3.0,1.0
13,5,2000,3.0,1.0
12,6,2000,3.0,1.0
11,7,2000,3.0,1.0
10,8,2000,3.0,1.0
9,9,2000,3.0,1.0
8,10,2000,3.0,1.0
7,11,2000,3.0,1.0
6,12,2000,3.0,1.0
5,13,2000,3.0,1.0
4,14,2000,3.0,1.0
3,15,2000,3.0,1.0
2,16,2000,3.0,1.0
1,17,2000,3.0,0.0
0,18,2000,3.0,0.0
