WE,WF,impressions,demand_factor,100-200-agreement
4,16,2000,2.0,1.0
3,17,2000,2.0,1.0
2,18,2000,2.0,1.0
1,19,2000,2.0,1.0
0,20,2000,2.0,1.0
20,0,2000,2.25,1.0
19,1,2000,2.25,1.0
18,2,2000,2.25,1.0
17,3,2000,2.25,1.0
16,4,2000,2.25,1.0
15,5,2000,2.25,1.0
14,6,2000,2.25,1.0
13,7,2000,2.25,1.0
12,8,2000,2.25,1.0
11,9,2000,2.25,1.0
10,10,2000,2.25,1.0
9,11,2000,2.25,1.0
8,12,2000,2.25,1.0
7,13,2000,2.25,1.0
6,14,2000,2.25,1.0
5,15,2000,2.25,1.0
4,16,2000,2.25,1.0
3,17,2000,2.25,1.0
2,18,2000,2.25,1.0
1,19,2000,2.25,1.0
0,20,2000,2.25,1.0
20,0,2000,2.5,1.0
19,1,2000,2.5,1.0
18,2,2000,2.5,1.0
17,3,2000,2.5,1.0
16,4,2000,2.5,1.0
15,5,2000,2.5,1.0
14,6,2000,2.5,1.0
13,7,2000,2.5,1.0
12,8,2000,2.5,1.0
11,9,2000,2.5,1.0
10,10,2000,2.5,1.0
9,11,2000,2.5,1.0
8,12,2000,2.5,0.0
7,13,2000,2.5,0.0
6,14,2000,2.5,1.0
5,15,2000,2.5,1.0
4,16,2000,2.5,1.0
3,17,2000,2.5,1.0
2,18,2000,2.5,1.0
1,19,2000,2.5,1.0
0,20,2000,2.5,1.0
20,0,2000,2.75,1.0
19,1,2000,2.75,1.0
18,2,2000,2.75,1.0
17,3,2000,2.75,1.0
16,4,2000,2.75,1.0
15,5,2000,2.75,1.0
14,6,2000,2.75,1.0
13,7,2000,2.75,1.0
12,8,2000,2.75,1.0
11,9,2000,2.75,1.0
10,10,2000,2.75,1.0
9,11,2000,2.75,1.0
8,12,2000,2.75,1.0
7,13,2000,2.75,1.0
6,14,2000,2.75,1.0
5,15,2000,2.75,1.0
4,16,2000,2.75,1.0
3,17,2000,2.75,1.0
2,18,2000,2.75,1.0
1,19,2000,2.75,1.0
0,20,2000,2.75,1.0
20,0,2000,3.0,1.0
19,1,2000,3.0,1.0
18,2,2000,3.0,1.0
17,3,2000,3.0,1.0
16,4,2000,3.0,1.0
15,5,2000,3.0,1.0
14,6,2000,3.0,1.0
13,7,2000,3.0,1.0
12,8,2000,3.0,1.0
11,9,2000,3.0,1.0
10,10,2000,3.0,1.0
9,11,2000,3.0,1.0
8,12,2000,3.0,1.0
7,13,2000,3.0,0.0
6,14,2000,3.0,0.0
5,15,2000,3.0,1.0
4,16,2000,3.0,1.0
3,17,2000,3.0,1.0
2,18,2000,3.0,1.0
1,19,2000,3.0,1.0
0,20,2000,3.0,1.0
