WE1,WF1,WE2,WF2,impressions,demand_factor,direction_100,direction_200
1,17,0,18,2000,0.75,b,b
18,0,17,1,2000,1.0,f,f
17,1,16,2,2000,1.0,f,f
16,2,15,3,2000,1.0,f,f
15,3,14,4,2000,1.0,f,f
14,4,13,5,2000,1.0,f,f
13,5,12,6,2000,1.0,f,f
12,6,11,7,2000,1.0,f,f
11,7,10,8,2000,1.0,f,f
10,8,9,9,2000,1.0,b,f
9,9,8,10,2000,1.0,b,f
8,10,7,11,2000,1.0,b,b
7,11,6,12,2000,1.0,b,b
6,12,5,13,2000,1.0,b,b
5,13,4,14,2000,1.0,b,b
4,14,3,15,2000,1.0,b,b
3,15,2,16,2000,1.0,b,b
2,16,1,17,2000,1.0,b,b
1,17,0,18,2000,1.0,b,b
18,0,17,1,2000,1.25,f,f
17,1,16,2,2000,1.25,f,f
16,2,15,3,2000,1.25,f,f
15,3,14,4,2000,1.25,f,f
14,4,13,5,2000,1.25,f,f
13,5,12,6,2000,1.25,f,f
12,6,11,7,2000,1.25,f,f
11,7,10,8,2000,1.25,f,f
10,8,9,9,2000,1.25,f,f
9,9,8,10,2000,1.25,f,f
8,10,7,11,2000,1.25,b,f
7,11,6,12,2000,1.25,b,b
6,12,5,13,2000,1.25,b,b
5,13,4,14,2000,1.25,b,b
4,14,3,15,2000,1.25,b,b
3,15,2,16,2000,1.25,b,b
2,16,1,17,2000,1.25,b,b
1,17,0,18,2000,1.25,b,b
18,0,17,1,2000,1.5,f,f
17,1,16,2,2000,1.5,f,f
16,2,15,3,2000,1.5,f,f
15,3,14,4,2000,1.5,f,f
14,4,13,5,2000,1.5,f,f
13,5,12,6,2000,1.5,f,f
12,6,11,7,2000,1.5,f,f
11,7,10,8,2000,1.5,f,f
10,8,9,9,2000,1.5,f,f
9,9,8,10,2000,1.5,b,f
8,10,7,11,2000,1.5,b,f
7,11,6,12,2000,1.5,b,b
6,12,5,13,2000,1.5,b,b
5,13,4,14,2000,1.5,b,b
4,14,3,15,2000,1.5,b,b
3,15,2,16,2000,1.5,b,b
2,16,1,17,2000,1.5,b,b
1,17,0,18,2000,1.5,b,b
18,0,17,1,2000,1.75,f,f
17,1,16,2,2000,1.75,f,f
16,2,15,3,2000,1.75,f,f
15,3,14,4,2000,1.75,f,f
14,4,13,5,2000,1.75,f,f
13,5,12,6,2000,1.75,f,f
12,6,11,7,2000,1.75,f,f
11,7,10,8,2000,1.75,f,f
10,8,9,9,2000,1.75,f,f
9,9,8,10,2000,1.75,f,b
8,10,7,11,2000,1.75,f,b
7,11,6,12,2000,1.75,f,f
6,12,5,13,2000,1.75,b,b
5,13,4,14,2000,1.75,b,b
4,14,3,15,2000,1.75,b,b
3,15,2,16,2000,1.75,b,b
2,16,1,17,2000,1.75,b,b
1,17,0,18,2000,1.75,b,b
18,0,17,1,2000,2.0,f,f
17,1,16,2,2000,2.0,f,f
16,2,15,3,2000,2.0,f,f
15,3,14,4,2000,2.0,f,f
14,4,13,5,2000,2.0,f,f
13,5,12,6,2000,2.0,f,f
12,6,11,7,2000,2.0,f,f
11,7,10,8,2000,2.0,f,f
10,8,9,9,2000,2.0,f,f
9,9,8,10,2000,2.0,f,b
8,10,7,11,2000,2.0,b,b
7,11,6,12,2000,2.0,b,b
6,12,5,13,2000,2.0,b,b
5,13,4,14,2000,2.0,b,b
4,14,3,15,2000,2.0,b,b
3,15,2,16,2000,2.0,b,b
2,16,1,17,2000,2.0,b,b
1,17,0,18,2000,2.0,b,b
18,0,17,1,2000,2.25,f,f
17,1,16,2,2000,2.25,f,f
16,2,15,3,2000,2.25,f,f
15,3,14,4,2000,2.25,f,f
14,4,13,5,2000,2.25,f,f
13,5,12,6,2000,2.25,f,f
12,6,11,7,2000,2.25,f,f
11,7,10,8,2000,2.25,f,f
10,8,9,9,2000,2.25,f,f
9,9,8,10,2000,2.25,f,f
8,10,7,11,2000,2.25,f,f
7,11,6,12,2000,2.25,f,f
6,12,5,13,2000,2.25,f,f
5,13,4,14,2000,2.25,b,b
4,14,3,15,2000,2.25,b,b
3,15,2,16,2000,2.25,b,b
2,16,1,17,2000,2.25,b,b
1,17,0,18,2000,2.25,b,b
18,0,17,1,2000,2.5,f,f
17,1,16,2,2000,2.5,f,f
16,2,15,3,2000,2.5,f,f
15,3,14,4,2000,2.5,f,f
14,4,13,5,2000,2.5,f,f
13,5,12,6,2000,2.5,f,f
12,6,11,7,2000,2.5,f,f
11,7,10,8,2000,2.5,f,f
10,8,9,9,2000,2.5,f,f
9,9,8,10,2000,2.5,f,f
8,10,7,11,2000,2.5,f,f
7,11,6,12,2000,2.5,b,f
6,12,5,13,2000,2.5,f,b
5,13,4,14,2000,2.5,f,b
4,14,3,15,2000,2.5,f,b
3,15,2,16,2000,2.5,b,b
2,16,1,17,2000,2.5,b,b
1,17,0,18,2000,2.5,b,b
18,0,17,1,2000,2.75,f,f
17,1,16,2,2000,2.75,f,f
16,2,15,3,2000,2.75,f,f
15,3,14,4,2000,2.75,f,f
14,4,13,5,2000,2.75,f,f
13,5,12,6,2000,2.75,f,f
12,6,11,7,2000,2.75,f,f
11,7,10,8,2000,2.75,f,f
10,8,9,9,2000,2.75,f,f
9,9,8,10,2000,2.75,f,f
8,10,7,11,2000,2.75,f,f
7,11,6,12,2000,2.75,f,f
6,12,5,13,2000,2.75,f,f
5,13,4,14,2000,2.75,b,f
4,14,3,15,2000,2.75,b,b
3,15,2,16,2000,2.75,b,b
2,16,1,17,2000,2.75,b,b
1,17,0,18,2000,2.75,b,b
18,0,17,1,2000,3.0,f,f
17,1,16,2,2000,3.0,f,f
16,2,15,3,2000,3.0,f,f
15,3,14,4,2000,3.0,f,f
14,4,13,5,2000,3.0,f,f
13,5,12,6,2000,3.0,f,f
12,6,11,7,2000,3.0,f,f
11,7,10,8,2000,3.0,f,f
10,8,9,9,2000,3.0,f,f
9,9,8,10,2000,3.0,f,f
8,10,7,11,2000,3.0,f,f
7,11,6,12,2000,3.0,f,f
6,12,5,13,2000,3.0,f,f
5,13,4,14,2000,3.0,f,f
4,14,3,15,2000,3.0,f,f
3,15,2,16,2000,3.0,b,b
2,16,1,17,2000,3.0,b,b
1,17,0,18,2000,3.0,b,f
