WE,WF,impressions,demand_factor,direction_100,direction_200
14,0,2000,0.25,f,f
13,1,2000,0.25,f,f
12,2,2000,0.25,f,f
11,3,2000,0.25,f,f
10,4,2000,0.25,f,f
9,5,2000,0.25,s,s
8,6,2000,0.25,s,b
7,7,2000,0.25,s,b
6,8,2000,0.25,b,b
5,9,2000,0.25,b,b
4,10,2000,0.25,b,b
3,11,2000,0.25,b,b
2,12,2000,0.25,b,b
1,13,2000,0.25,b,b
0,14,2000,0.25,b,b
14,0,2000,0.5,f,f
13,1,2000,0.5,f,f
12,2,2000,0.5,f,f
11,3,2000,0.5,f,f
10,4,2000,0.5,f,f
9,5,2000,0.5,s,f
8,6,2000,0.5,b,f
7,7,2000,0.5,s,s
6,8,2000,0.5,s,b
5,9,2000,0.5,b,b
4,10,2000,0.5,b,b
3,11,2000,0.5,b,b
2,12,2000,0.5,b,b
1,13,2000,0.5,b,b
0,14,2000,0.5,b,b
14,0,2000,0.75,f,f
13,1,2000,0.75,f,f
12,2,2000,0.75,f,f
11,3,2000,0.75,f,f
10,4,2000,0.75,f,f
9,5,2000,0.75,f,f
8,6,2000,0.75,f,f
7,7,2000,0.75,f,f
6,8,2000,0.75,s,s
5,9,2000,0.75,b,b
4,10,2000,0.75,s,b
3,11,2000,0.75,s,b
2,12,2000,0.75,b,b
1,13,2000,0.75,b,b
0,14,2000,0.75,b,b
14,0,2000,1.0,f,f
13,1,2000,1.0,f,f
12,2,2000,1.0,f,f
11,3,2000,1.0,f,f
10,4,2000,1.0,f,f
9,5,2000,1.0,f,f
8,6,2000,1.0,f,s
7,7,2000,1.0,s,s
6,8,2000,1.0,s,s
5,9,2000,1.0,s,b
4,10,2000,1.0,b,b
3,11,2000,1.0,b,b
2,12,2000,1.0,b,b
1,13,2000,1.0,b,b
0,14,2000,1.0,b,b
14,0,2000,1.25,f,f
13,1,2000,1.25,f,f
12,2,2000,1.25,f,f
11,3,2000,1.25,f,f
10,4,2000,1.25,f,f
9,5,2000,1.25,f,f
8,6,2000,1.25,f,f
7,7,2000,1.25,f,f
6,8,2000,1.25,f,f
5,9,2000,1.25,s,s
4,10,2000,1.25,b,b
3,11,2000,1.25,b,b
2,12,2000,1.25,b,b
1,13,2000,1.25,b,b
0,14,2000,1.25,b,b
14,0,2000,1.5,f,f
13,1,2000,1.5,f,f
12,2,2000,1.5,f,f
11,3,2000,1.5,f,f
10,4,2000,1.5,f,f
9,5,2000,1.5,f,f
8,6,2000,1.5,f,f
7,7,2000,1.5,f,f
6,8,2000,1.5,f,f
5,9,2000,1.5,s,f
4,10,2000,1.5,b,s
3,11,2000,1.5,b,b
2,12,2000,1.5,b,b
1,13,2000,1.5,b,b
0,14,2000,1.5,b,b
14,0,2000,1.75,f,f
13,1,2000,1.75,f,f
12,2,2000,1.75,f,f
11,3,2000,1.75,f,f
10,4,2000,1.75,f,f
9,5,2000,1.75,f,f
8,6,2000,1.75,f,f
7,7,2000,1.75,f,f
6,8,2000,1.75,s,f
5,9,2000,1.75,b,f
4,10,2000,1.75,b,f
3,11,2000,1.75,b,s
2,12,2000,1.75,b,b
1,13,2000,1.75,b,b
0,14,2000,1.75,b,b
14,0,2000,2.0,f,f
13,1,2000,2.0,f,f
12,2,2000,2.0,f,f
11,3,2000,2.0,f,f
10,4,2000,2.0,f,f
9,5,2000,2.0,f,f
8,6,2000,2.0,f,f
7,7,2000,2.0,f,f
6,8,2000,2.0,f,f
5,9,2000,2.0,s,f
4,10,2000,2.0,s,f
3,11,2000,2.0,s,f
2,12,2000,2.0,b,s
1,13,2000,2.0,b,b
0,14,2000,2.0,b,b
14,0,2000,2.25,f,f
13,1,2000,2.25,f,f
12,2,2000,2.25,f,f
11,3,2000,2.25,f,f
10,4,2000,2.25,f,f
9,5,2000,2.25,f,f
8,6,2000,2.25,f,f
7,7,2000,2.25,f,f
6,8,2000,2.25,f,f
5,9,2000,2.25,s,f
4,10,2000,2.25,s,s
3,11,2000,2.25,s,s
2,12,2000,2.25,b,s
1,13,2000,2.25,b,b
0,14,2000,2.25,b,b
14,0,2000,2.5,f,f
13,1,2000,2.5,f,f
12,2,2000,2.5,f,f
11,3,2000,2.5,f,f
10,4,2000,2.5,f,f
9,5,2000,2.5,f,f
8,6,2000,2.5,f,f
7,7,2000,2.5,f,f
6,8,2000,2.5,f,f
5,9,2000,2.5,f,f
4,10,2000,2.5,f,f
3,11,2000,2.5,f,f
2,12,2000,2.5,s,s
1,13,2000,2.5,b,s
0,14,2000,2.5,b,s
14,0,2000,2.75,f,f
13,1,2000,2.75,f,f
12,2,2000,2.75,f,f
11,3,2000,2.75,f,f
10,4,2000,2.75,f,f
9,5,2000,2.75,f,f
8,6,2000,2.75,f,f
7,7,2000,2.75,f,f
6,8,2000,2.75,f,f
5,9,2000,2.75,f,f
4,10,2000,2.75,s,f
3,11,2000,2.75,s,f
2,12,2000,2.75,f,f
1,13,2000,2.75,s,s
0,14,2000,2.75,b,b
14,0,2000,3.0,f,f
13,1,2000,3.0,f,f
12,2,2000,3.0,f,f
11,3,2000,3.0,f,f
10,4,2000,3.0,f,f
9,5,2000,3.0,f,f
8,6,2000,3.0,f,f
7,7,2000,3.0,f,f
6,8,2000,3.0,f,f
5,9,2000,3.0,f,f
4,10,2000,3.0,f,f
3,11,2000,3.0,f,f
2,12,2000,3.0,f,f
1,13,2000,3.0,s,f
0,14,2000,3.0,b,s
