WE,WF,impressions,demand_factor,direction_200,direction_400
10,0,2000,0.25,f,f
9,1,2000,0.25,f,f
8,2,2000,0.25,f,f
7,3,2000,0.25,f,f
6,4,2000,0.25,f,f
5,5,2000,0.25,s,s
4,6,2000,0.25,b,b
3,7,2000,0.25,b,b
2,8,2000,0.25,b,b
1,9,2000,0.25,b,b
0,10,2000,0.25,b,b
10,0,2000,0.5,f,f
9,1,2000,0.5,f,f
8,2,2000,0.5,f,f
7,3,2000,0.5,f,f
6,4,2000,0.5,f,f
5,5,2000,0.5,f,f
4,6,2000,0.5,s,s
3,7,2000,0.5,b,b
2,8,2000,0.5,b,b
1,9,2000,0.5,b,b
0,10,2000,0.5,b,b
10,0,2000,0.75,f,f
9,1,2000,0.75,f,f
8,2,2000,0.75,f,f
7,3,2000,0.75,f,f
6,4,2000,0.75,f,f
5,5,2000,0.75,s,f
4,6,2000,0.75,b,s
3,7,2000,0.75,b,b
2,8,2000,0.75,b,b
1,9,2000,0.75,b,b
0,10,2000,0.75,b,b
10,0,2000,1.0,f,f
9,1,2000,1.0,f,f
8,2,2000,1.0,f,f
7,3,2000,1.0,f,f
6,4,2000,1.0,f,f
5,5,2000,1.0,f,f
4,6,2000,1.0,s,f
3,7,2000,1.0,b,s
2,8,2000,1.0,b,b
1,9,2000,1.0,b,b
0,10,2000,1.0,b,b
10,0,2000,1.25,f,f
9,1,2000,1.25,f,f
8,2,2000,1.25,f,f
7,3,2000,1.25,f,f
6,4,2000,1.25,f,f
5,5,2000,1.25,f,f
4,6,2000,1.25,f,f
3,7,2000,1.25,f,f
2,8,2000,1.25,s,s
1,9,2000,1.25,b,b
0,10,2000,1.25,b,b
10,0,2000,1.5,f,f
9,1,2000,1.5,f,f
8,2,2000,1.5,f,f
7,3,2000,1.5,f,f
6,4,2000,1.5,f,f
5,5,2000,1.5,f,f
4,6,2000,1.5,s,f
3,7,2000,1.5,s,s
2,8,2000,1.5,s,b
1,9,2000,1.5,b,b
0,10,2000,1.5,b,b
10,0,2000,1.75,f,f
9,1,2000,1.75,f,f
8,2,2000,1.75,f,f
7,3,2000,1.75,f,f
6,4,2000,1.75,f,f
5,5,2000,1.75,f,f
4,6,2000,1.75,f,f
3,7,2000,1.75,f,f
2,8,2000,1.75,s,f
1,9,2000,1.75,b,s
0,10,2000,1.75,b,b
10,0,2000,2.0,f,f
9,1,2000,2.0,f,f
8,2,2000,2.0,f,f
7,3,2000,2.0,f,f
6,4,2000,2.0,f,f
5,5,2000,2.0,f,f
4,6,2000,2.0,f,f
3,7,2000,2.0,f,f
2,8,2000,2.0,f,f
1,9,2000,2.0,f,f
0,10,2000,2.0,s,s
10,0,2000,2.25,f,f
9,1,2000,2.25,f,f
8,2,2000,2.25,f,f
7,3,2000,2.25,f,f
6,4,2000,2.25,f,f
5,5,2000,2.25,f,f
4,6,2000,2.25,f,f
3,7,2000,2.25,f,f
2,8,2000,2.25,f,f
1,9,2000,2.25,f,f
0,10,2000,2.25,s,s
10,0,2000,2.5,f,f
9,1,2000,2.5,f,f
8,2,2000,2.5,f,f
7,3,2000,2.5,f,f
6,4,2000,2.5,f,f
5,5,2000,2.5,f,f
4,6,2000,2.5,f,f
3,7,2000,2.5,f,f
2,8,2000,2.5,f,f
1,9,2000,2.5,f,f
0,10,2000,2.5,s,s
10,0,2000,2.75,f,f
9,1,2000,2.75,f,f
8,2,2000,2.75,f,f
7,3,2000,2.75,f,f
6,4,2000,2.75,f,f
5,5,2000,2.75,f,f
4,6,2000,2.75,f,f
3,7,2000,2.75,f,f
2,8,2000,2.75,f,f
1,9,2000,2.75,f,f
0,10,2000,2.75,s,s
10,0,2000,3.0,f,f
9,1,2000,3.0,f,f
8,2,2000,3.0,f,f
7,3,2000,3.0,f,f
6,4,2000,3.0,f,f
5,5,2000,3.0,f,f
4,6,2000,3.0,f,f
3,7,2000,3.0,f,f
2,8,2000,3.0,f,f
1,9,2000,3.0,f,f
0,10,2000,3.0,s,s
