WE,WF,impressions,demand_factor,direction_200,direction_400
12,0,2000,0.25,f,f
11,1,2000,0.25,f,f
10,2,2000,0.25,f,f
9,3,2000,0.25,f,f
8,4,2000,0.25,f,f
7,5,2000,0.25,f,f
6,6,2000,0.25,s,s
5,7,2000,0.25,b,b
4,8,2000,0.25,b,b
3,9,2000,0.25,b,b
2,10,2000,0.25,b,b
1,11,2000,0.25,b,b
0,12,2000,0.25,b,b
12,0,2000,0.5,f,f
11,1,2000,0.5,f,f
10,2,2000,0.5,f,f
9,3,2000,0.5,f,f
8,4,2000,0.5,f,f
7,5,2000,0.5,s,f
6,6,2000,0.5,b,f
5,7,2000,0.5,b,s
4,8,2000,0.5,b,b
3,9,2000,0.5,b,b
2,10,2000,0.5,b,b
1,11,2000,0.5,b,b
0,12,2000,0.5,b,b
12,0,2000,0.75,f,f
11,1,2000,0.75,f,f
10,2,2000,0.75,f,f
9,3,2000,0.75,f,f
8,4,2000,0.75,f,f
7,5,2000,0.75,s,f
6,6,2000,0.75,s,s
5,7,2000,0.75,f,b
4,8,2000,0.75,s,b
3,9,2000,0.75,b,b
2,10,2000,0.75,b,b
1,11,2000,0.75,b,b
0,12,2000,0.75,b,b
12,0,2000,1.0,f,f
11,1,2000,1.0,f,f
10,2,2000,1.0,f,f
9,3,2000,1.0,f,f
8,4,2000,1.0,f,f
7,5,2000,1.0,f,f
6,6,2000,1.0,s,s
5,7,2000,1.0,s,s
4,8,2000,1.0,f,s
3,9,2000,1.0,s,b
2,10,2000,1.0,b,b
1,11,2000,1.0,b,b
0,12,2000,1.0,b,b
12,0,2000,1.25,f,f
11,1,2000,1.25,f,f
10,2,2000,1.25,f,f
9,3,2000,1.25,f,f
8,4,2000,1.25,f,f
7,5,2000,1.25,f,f
6,6,2000,1.25,s,f
5,7,2000,1.25,b,f
4,8,2000,1.25,b,s
3,9,2000,1.25,b,b
2,10,2000,1.25,b,b
1,11,2000,1.25,b,b
0,12,2000,1.25,b,b
12,0,2000,1.5,f,f
11,1,2000,1.5,f,f
10,2,2000,1.5,f,f
9,3,2000,1.5,f,f
8,4,2000,1.5,f,f
7,5,2000,1.5,f,f
6,6,2000,1.5,f,f
5,7,2000,1.5,f,f
4,8,2000,1.5,f,s
3,9,2000,1.5,s,s
2,10,2000,1.5,b,s
1,11,2000,1.5,b,b
0,12,2000,1.5,b,b
12,0,2000,1.75,f,f
11,1,2000,1.75,f,f
10,2,2000,1.75,f,f
9,3,2000,1.75,f,f
8,4,2000,1.75,f,f
7,5,2000,1.75,f,f
6,6,2000,1.75,f,f
5,7,2000,1.75,f,f
4,8,2000,1.75,f,f
3,9,2000,1.75,s,s
2,10,2000,1.75,b,b
1,11,2000,1.75,b,b
0,12,2000,1.75,b,b
12,0,2000,2.0,f,f
11,1,2000,2.0,f,f
10,2,2000,2.0,f,f
9,3,2000,2.0,f,f
8,4,2000,2.0,f,f
7,5,2000,2.0,f,f
6,6,2000,2.0,f,f
5,7,2000,2.0,f,f
4,8,2000,2.0,f,f
3,9,2000,2.0,s,f
2,10,2000,2.0,b,s
1,11,2000,2.0,s,b
0,12,2000,2.0,s,b
12,0,2000,2.25,f,f
11,1,2000,2.25,f,f
10,2,2000,2.25,f,f
9,3,2000,2.25,f,f
8,4,2000,2.25,f,f
7,5,2000,2.25,f,f
6,6,2000,2.25,f,f
5,7,2000,2.25,f,f
4,8,2000,2.25,f,f
3,9,2000,2.25,f,f
2,10,2000,2.25,s,f
1,11,2000,2.25,b,s
0,12,2000,2.25,b,b
12,0,2000,2.5,f,f
11,1,2000,2.5,f,f
10,2,2000,2.5,f,f
9,3,2000,2.5,f,f
8,4,2000,2.5,f,f
7,5,2000,2.5,f,f
6,6,2000,2.5,f,f
5,7,2000,2.5,f,f
4,8,2000,2.5,f,f
3,9,2000,2.5,f,f
2,10,2000,2.5,s,f
1,11,2000,2.5,s,f
0,12,2000,2.5,s,s
12,0,2000,2.75,f,f
11,1,2000,2.75,f,f
10,2,2000,2.75,f,f
9,3,2000,2.75,f,f
8,4,2000,2.75,f,f
7,5,2000,2.75,f,f
6,6,2000,2.75,f,f
5,7,2000,2.75,f,f
4,8,2000,2.75,f,f
3,9,2000,2.75,f,f
2,10,2000,2.75,f,f
1,11,2000,2.75,f,f
0,12,2000,2.75,s,s
12,0,2000,3.0,f,f
11,1,2000,3.0,f,f
10,2,2000,3.0,f,f
9,3,2000,3.0,f,f
8,4,2000,3.0,f,f
7,5,2000,3.0,f,f
6,6,2000,3.0,f,f
5,7,2000,3.0,f,f
4,8,2000,3.0,f,f
3,9,2000,3.0,f,f
2,10,2000,3.0,f,f
1,11,2000,3.0,f,f
0,12,2000,3.0,s,s
