WE,WF,impressions,demand_factor,400-800-agreement
9,8,2000,2.0,1.0
8,9,2000,2.0,1.0
7,10,2000,2.0,1.0
6,11,2000,2.0,0.0
5,12,2000,2.0,0.0
4,13,2000,2.0,1.0
3,14,2000,2.0,1.0
2,15,2000,2.0,1.0
1,16,2000,2.0,1.0
0,17,2000,2.0,1.0
17,0,2000,2.25,1.0
16,1,2000,2.25,1.0
15,2,2000,2.25,1.0
14,3,2000,2.25,1.0
13,4,2000,2.25,1.0
12,5,2000,2.25,1.0
11,6,2000,2.25,1.0
10,7,2000,2.25,1.0
9,8,2000,2.25,1.0
8,9,2000,2.25,1.0
7,10,2000,2.25,1.0
6,11,2000,2.25,1.0
5,12,2000,2.25,1.0
4,13,2000,2.25,1.0
3,14,2000,2.25,1.0
2,15,2000,2.25,1.0
1,16,2000,2.25,1.0
0,17,2000,2.25,1.0
17,0,2000,2.5,1.0
16,1,2000,2.5,1.0
15,2,2000,2.5,1.0
14,3,2000,2.5,1.0
13,4,2000,2.5,1.0
12,5,2000,2.5,1.0
11,6,2000,2.5,1.0
10,7,2000,2.5,1.0
9,8,2000,2.5,1.0
8,9,2000,2.5,1.0
7,10,2000,2.5,1.0
6,11,2000,2.5,1.0
5,12,2000,2.5,1.0
4,13,2000,2.5,1.0
3,14,2000,2.5,1.0
2,15,2000,2.5,1.0
1,16,2000,2.5,1.0
0,17,2000,2.5,1.0
17,0,2000,2.75,1.0
16,1,2000,2.75,1.0
15,2,2000,2.75,1.0
14,3,2000,2.75,1.0
13,4,2000,2.75,1.0
12,5,2000,2.75,1.0
11,6,2000,2.75,1.0
10,7,2000,2.75,1.0
9,8,2000,2.75,1.0
8,9,2000,2.75,1.0
7,10,2000,2.75,1.0
6,11,2000,2.75,1.0
5,12,2000,2.75,1.0
4,13,2000,2.75,1.0
3,14,2000,2.75,1.0
2,15,2000,2.75,1.0
1,16,2000,2.75,1.0
0,17,2000,2.75,1.0
17,0,2000,3.0,1.0
16,1,2000,3.0,1.0
15,2,2000,3.0,1.0
14,3,2000,3.0,1.0
13,4,2000,3.0,1.0
12,5,2000,3.0,1.0
11,6,2000,3.0,1.0
10,7,2000,3.0,1.0
9,8,2000,3.0,1.0
8,9,2000,3.0,1.0
7,10,2000,3.0,1.0
6,11,2000,3.0,1.0
5,12,2000,3.0,1.0
4,13,2000,3.0,1.0
3,14,2000,3.0,1.0
2,15,2000,3.0,1.0
1,16,2000,3.0,1.0
0,17,2000,3.0,1.0
