WE1,WF1,WE2,WF2,impressions,demand_factor,direction_400,direction_800
2,0,1,1,2000,0.25,f,f
1,1,0,2,2000,0.25,f,f
2,0,1,1,2000,0.5,f,f
1,1,0,2,2000,0.5,f,f
2,0,1,1,2000,0.75,f,f
1,1,0,2,2000,0.75,f,f
2,0,1,1,2000,1.0,b,b
1,1,0,2,2000,1.0,b,b
2,0,1,1,2000,1.25,f,f
1,1,0,2,2000,1.25,f,f
2,0,1,1,2000,1.5,b,b
1,1,0,2,2000,1.5,f,f
2,0,1,1,2000,1.75,b,b
1,1,0,2,2000,1.75,f,f
2,0,1,1,2000,2.0,b,b
1,1,0,2,2000,2.0,f,f
2,0,1,1,2000,2.25,x,x
1,1,0,2,2000,2.25,x,x
2,0,1,1,2000,2.5,x,x
1,1,0,2,2000,2.5,x,x
2,0,1,1,2000,2.75,x,x
1,1,0,2,2000,2.75,x,x
2,0,1,1,2000,3.0,x,x
1,1,0,2,2000,3.0,x,x
