WE,WF,impressions,demand_factor,200-400-agreement
15,0,2000,3.0,1.0
14,1,2000,3.0,1.0
13,2,2000,3.0,1.0
12,3,2000,3.0,1.0
11,4,2000,3.0,1.0
10,5,2000,3.0,1.0
9,6,2000,3.0,1.0
8,7,2000,3.0,1.0
7,8,2000,3.0,1.0
6,9,2000,3.0,1.0
5,10,2000,3.0,1.0
4,11,2000,3.0,1.0
3,12,2000,3.0,1.0
2,13,2000,3.0,0.0
1,14,2000,3.0,0.0
0,15,2000,3.0,1.0
